Student,LPIPS,SSIM
113370239.png,0.0,1.0
111590047.png,0.17465223371982574,0.7375022807804724
113590039.png,0.18693269789218903,0.7378597588842237
113590026.png,0.20060452818870544,0.7152433872434704
113590051.png,0.20549073815345764,0.7117590990071915
113590031.png,0.22219452261924744,0.6923371125910665
113590060.png,0.22519877552986145,0.7081695540599332
113590021.png,0.242489293217659,0.6705179043562244
113590015.png,0.2460060715675354,0.6774319755571825
113590061.png,0.24771782755851746,0.7262131212650386
111590062.png,0.24873663485050201,0.7017057946589063
113590001.png,0.25127309560775757,0.6782222385462977
113590056.png,0.25769951939582825,0.7073296275361771
113590003.png,0.25917956233024597,0.6596101301861014
113590022.png,0.2720446288585663,0.69197045607142
112590040.png,0.27637410163879395,0.6600996815765268
113590044.png,0.2786526679992676,0.6733475445228992
112590454.png,0.2854529619216919,0.6508320894668421
111590028.png,0.2881077229976654,0.7279373226173472
113590052.png,0.28811004757881165,0.6640400114877705
113590045.png,0.2925334572792053,0.6538312758771482
113590047.png,0.3024534285068512,0.741832309358568
110590455.png,0.30862435698509216,0.701650321332049
112590455.png,0.31147149205207825,0.6490595425544976
114054809.png,0.32069456577301025,0.6805005245214083
113590004.png,0.3220422863960266,0.7392546369239579
113AC1012.png,0.32364144921302795,0.6575581435444221
113590062.png,0.3287806808948517,0.626616457617983
113590002.png,0.3526305556297302,0.6327292922265829
113590043.png,0.35646334290504456,0.7482476428995362
113590028.png,0.35707858204841614,0.6019843577870186
113590025.png,0.3620712459087372,0.751015096658324
113590018.png,0.3646075427532196,0.6198571398766217
113590050.png,0.3677157163619995,0.5748536145021054
113590010.png,0.3693859875202179,0.6123668870772684
113590006.png,0.3745473027229309,0.5727470484342694
113590057.png,0.3803248405456543,0.6169553038683158
113590011.png,0.38858509063720703,0.605749364395378
111590042.png,0.39425864815711975,0.7582415539187322
113590023.png,0.39679813385009766,0.5654453576903647
113590059.png,0.39824801683425903,0.5565726943584178
113590042.png,0.42694833874702454,0.5731770813467636
113590049.png,0.43034714460372925,0.5336978739174179
111590455.png,0.49775606393814087,0.5410406144859514
113590008.png,0.5067363977432251,0.5057089744871993
